,Number of sequences,Mean length,Median,Execution time
0,25,60.0,60.0,18.82
1,50,60.0,60.0,51.87
2,75,60.0,60.0,88.00
3,100,60.0,60.0,136.05
4,125,60.0,60.0,157.78
5,150,60.0,60.0,194.21
6,175,60.0,60.0,239.23
7,200,60.0,60.0,287.65
8,225,60.0,60.0,336.12
9,250,60.0,60.0,402.21
