,Learning dataset size,f1 value,recall
0,905,0.56,0.8023
1,1086,0.62,0.8369
2,1267,0.62,0.8023
3,1448,0.61,0.8110
4,1629,0.63,0.8355
5,1810,0.63,0.8326
6,1991,0.60,0.8153
7,2172,0.63,0.8326
8,2353,0.64,0.8254
9,2534,0.63,0.8283
10,2715,0.62,0.8240
